ID,X,Y,Z,Z-Rotation,X-Rotation
1,152,0,50.3,90,0
2,365,217.25,32,270,0
3,189,217.25,32.5,270,0
4,385,0,76.1,90,0
5,0,81.5,35.5,0,0
6,0,170.7,35.5,0,0
7,130.7,275.5,32.5,210,0
8,205,85,9.5,0,0
9,321.1,198.85,10.5,315,0
10,392,81,9.4,180,0
11,192,83.5,9.5,180,0
